Zhob,Zhob,DHQ Hospital,main city road,03127919610,Both
Zhob,Zhob,BHU Killi Apozai,main city road,03127919610,Both
Sherani,Sherani,BHU Khan Alam(Kapip),main city road,03138532156,Both
DUKI,Dukki,BHU NASAR ABAD (DUKKI),main city road,03438155773,Both
DUKI,Luni,BHU Musajan Lakhi,main city road,03351247088,Both
DUKI,Thaal Chutiali,BHU BANI KOT ZAKI,main city road,03322722917,Both
DUKI,Luni,BHU MARJAN ZAI,main city road,03322541655,Both
DUKI,Thaal Chutiali,RHJC Jhaal,main city road,03120805582,Both
Quetta,Quetta Saddar,LRBT Hospital,main quetta sibi road,03151616615,Both
Sherani,Sherani,RHC Manikhuwa,manikhuwa,03139366592,Both
Mastung,Kardigap,"BHU, Pasund Khan",main city,03318349299,Both
Mastung,Kardigap,RHC Kardigap,main city,03337934929,Both
Surab,Mehrabad,BHU Lakhrioan,Lakhrioan,"0333268377603368326230",Both
Surab,Umarabad,RHC Hathyari Gidder,gidder town,"0333268377603368326230",Both
Surab,Dasht e Goran,BHU MALSHOARI,malshori,"0333268377603368326230",Both
Kech/Turbat,Turbat,BHU Hoshab,main city,Not Available,Both
Dera Bugti,Phellawagh,BHU Pirkoh,Pirkoh,Not Available,Both
Dera Bugti,Phellawagh,RHC Baikar,Baikar,Not Available,Both
Sibi,Sibi,Sibi,Sibi city,Not Available,Both
Killa Saifullah,Killa Saifullah,CD Kach Karim Zai,Karim zai town,03326244978,Both
Killa Saifullah,Killa Saifullah,RHC Gawal Ismailzai,main city,03126866080,Both
Killa Saifullah,Muslim Bagh,RHC Kan Mehterzai,kanmehtarzai city,03333822584,Both
Killa Saifullah,Killa Saifullah,District Store,main DHO office,03023816778,Both
Loralai,Bori,BHU KACH AMAKZAI,main city,Not Available,Both
Loralai,Bori,BHU Safor Khan,main city,Not Available,Both
"",,,,,GB,,
"",,,,,,,Designated For
Ser#,District,Tehsil,AVC Name,Address,,Contact NO,
"",,,,,,,"(HCW, Citizens)"
1,Astore,Astore,DHQ Hospital Astore,P.O & village Eidgah Bazar area district headquarter Hospital Astore,,0355-5478039,Both
2,Astore,Shounter,CH Bunji,Civil Hospital Rattu,,0355-4137381,Both
3,Astore,Astore,CD Rattu,Civil Dispensary Doyan,,0355-5456413,Both
4,Astore,Shounter,CD Koshunat,Village Koshunat UC Gudai Tehsil Shounter,,0355-5002009,Both
5,Astore,Shounter,CH Minimerg,Village & UC Minimerg Astore,,0355-5151565,Both
6,Astore,Astore,BHU RAMKHA,Village Ramkha UC Parishing District Astore,,0355-4142583,Both
7,Astore,Astore,BHU HARCHO,Village Harcho UC doyan District Astore,,0355-5001415,Both
8,Astore,Astore,50 bedded hospital,Village Hospital UC Eidgah District Astore,,0355-5253862,Both
9,Astore,Eidgah,DHO Office Astore AVC,Village Avc UC eidgah District Astore,,0355 5119296,Both
10,Diamer,Chilas,RHQ Hospital Chilas,District Headquarter hospital MC Chilas,,0345-6119903,Both
11,Diamer,Tangir,THQ Juglot,Tehsil Head quarter hospital Tangir Juglot,,0355-5257666,Both
12,Diamer,Daril,CH Daril,Civil Hospital Samigal Daril,,0355-5176191,Both
13,Diamer,Chilas,BHU Thore,UC Thore Hudur Basic Health Unit Thore,,0355-5142359,Both
14,Diamer,Chilas,CD Goner Farm,Civil Dispensary  Goner Fram UC Goner Farm,,0355-5366999,Both
15,Diamer,Chilas,ACD Gohar Abad,Village Goharabad UC Goharabad Diamer,,0355-5272212,Both
16,Diamer,Chilas,ACD Parika,Village Parika UC thak niat Diamer,,0355 5145455,Both
17,Diamer,Daril,ACD Gayot,Village Gayot UC Manikal Diamer,,0355 5145455,Both
18,Diamer,Daril,CD Gayal,Village Gayal UC Samigal Diamer,,0355 5145455,Both
19,Diamer,Tangir,CD Khamikot,Village khamikot UC Gabar Diamer,,0355 5145455,Both
20,Kharmang,Kharmang,CH Mehdiabad,Civil Hospital Mehdiabad Kharmang,,0355-5390155,Both
21,Kharmang,Kharmang,CD Manthokha,Village Manthokha UC & Tehsil Kharmang,,05815-928001,Both
22,Kharmang,Kharmang,CH Tolti,Village & UC Tolti,,0355-5274648,Both
23,Kharmang,Kharmang,CH Olding,Civil Hospital Olding UC Olding kharmang,,0355-4134760,Both
24,Kharmang,Kharmang,BHU Mayurdo,Basic Health unit Mayurdo UC Baghicha Kharmang,,0355-5619425,Both
25,Kharmang,Kharmang,CD Gandus,Civil Dispensary Gandus UC Kharmang,,0355-5287560,Both
26,Kharmang,Kharmang,MCH Tolti Brok,village Tolti Brok UC Katisho Kharmang,,0355-5074853,Both
27,Kharmang,Kharmang,MCH Memoshthang,Village Memoshthang UC Bresil Kharmang,,0355-5656228,Both
28,Kharmang,Kharmang,CD Hamzigond,Village Hamigond UC Hamzigond Kharmang,,0355-4397294,Both
29,Kharmang,Kharmang,CD Pari,Village Pari UC Kharmang,,0355-5757570,Both
30,Shigar,Shigar,RHC Shigar,Regional Health Center Shigar UC Markunja Dist Shigar,,0348-8575975,Both
31,Shigar,Shigar,RHC Gulabpur,Regional health center Gulappur UC Gulappur Dist. shigar,,0355-8606498,Both
32,Shigar,Shigar,BHU Tisar,Basic Health Unit Tisar UC Tisar Dist. Shigar,,0355-5134040,Both
33,Shigar,Shigar,CD Alchori,Civil Dispensrary Alchori UC alchori Dist. Shigar,,0355-4437428,Both
"",,,,,0311-8832309,,,
35,Shigar,Shigar,CD Wazirpur,Village Wazirpur UC Shigar,,0343-4633116,,Both
36,Shigar,"ShigarShigarShigar",FAP Kothang,Village Kothang UC Marip Shigar,,0346-9531983,,Both
37,Shigar,CD Haiderabad,Villgare Haiderabad UC Alchori Shigar,,0355-5460763,,Both,
38,Shigar,CD Chorkha,Village & UC Chorkha Shigar,,0348-8282270,,Both,
39,Skardu,Skardu,RHQ SKARDU,District headquarter hospital Skardu MC-II Skardu,,0344-9112952,,Both
40,Skardu,Gamba Skardu,BMS Hospital,Benazir Memoral Shahid Hospital Gamba Skardu,,0331-5949575,,Both
41,Skardu,Roundu,CH THOWAR,Civil Hospital Thowar UC Stak Tehsil Roundu dist. Skardu,,0344-5596344,,Both
42,Skardu,Gamba Skardu,CD Kawardo,Civil Hospital Kawardo Gamba Skardu,,0343-8822633,,Both
43,Skardu,Gamba Skardu,CD Kachura,Civil Hospital Kachura Gamba Skardu,,0323-3266865,,Both
44,Skardu,Gamba Skardu,CD Chunda,Village Chunda Gamba Skardu,,0355-5454324,,Both
45,Skardu,Skardu,CD Gole,Village Gole Skardu,,0341-3077336,,Both
46,Skardu,Gamba Skardu,CD Basho,Village Basho Gamba Skardu,,0342-5153319,,Both
47,Skardu,Gamba Skardu,CD Qumrah,Village Qumrah Gamba Skardu,,0355-5779877,,Both
48,Skardu,MC-1,DHO Office AVC,District Health office Skardu,,0344-6792060,,Both
49,Skardu,Skardu,CD Sermik,Village & Gole-sermik district Skardu,,0355-4189193,,Both
50,Skardu,Skardu,CD Hussainabad,Village & UC Hussainabad dIst Skardu,,0315-1004598,,Both
51,Skardu,Skardu,CD Hassan Colony,"Hassan Colony UC MC-1, Skardu City",,0355-5393355,,Both
52,Skardu,Gamba,CD Astana,Village Astana UC Shigari khurd Skardu,,0355-5454612,,Both
53,Skardu,Gamba,CD Sundus,Village Sundus UC Shigari Khurd Skardu,,0355-4594666,,Both
54,Skardu,Roundu,BHU Tormik,"Village & UC Tormik, SKARDU",,0355-5253720,,Both
55,Skardu,Roundu,CD Talu,"Village Talu UC Ganji, Skardu",,0355-4123309,,Both
56,Skardu,,CD Bilamik,Village &UC bilmaik Skarud,,0355-5653649,,Both
57,Skardu,Roundu,CD Shout,"Village Shout UC Ganji, Skardu",,0355-5264299,,Both
